gene,avg_bulk_CPM,hgnc_symbol
ENSG00000210082,71169.00544675025,MT-RNR2
ENSG00000211459,21854.987544257092,MT-RNR1
ENSG00000198804,15153.843567294025,MT-CO1
ENSG00000198886,9114.274826663728,MT-ND4
ENSG00000274012,6538.329999846073,RN7SL2
ENSG00000198938,6428.078467048944,MT-CO3
ENSG00000251562,6236.920392355169,MALAT1
ENSG00000198712,5556.016874672764,MT-CO2
ENSG00000156508,5068.840948913711,EEF1A1
ENSG00000198727,4766.916302251604,MT-CYB
ENSG00000244734,4443.4571566918785,HBB
ENSG00000198763,4328.726703221013,MT-ND2
ENSG00000198888,4162.068056888751,MT-ND1
ENSG00000198786,4140.271345629022,MT-ND5
ENSG00000075624,3925.798155988327,ACTB
ENSG00000198899,3791.6939417004555,MT-ATP6
ENSG00000155657,3613.541865168166,TTN
ENSG00000087086,3394.0369389487155,FTL
ENSG00000115414,2822.4089431867933,FN1
ENSG00000143632,1857.4957503237958,ACTA1
ENSG00000197746,1856.0513014329372,PSAP
ENSG00000124942,1779.7172127869242,AHNAK
ENSG00000188536,1690.6549826706341,HBA2
ENSG00000184009,1635.295840384257,ACTG1
ENSG00000205542,1585.824843002343,TMSB4X
ENSG00000163631,1554.8342728129385,ALB
ENSG00000167658,1508.499267364694,EEF2
ENSG00000092054,1401.435441974521,MYH7
ENSG00000019582,1367.2733224344329,CD74
ENSG00000198840,1287.1942402759191,MT-ND3
ENSG00000265972,1280.965385551199,TXNIP
ENSG00000198695,1270.8488464784687,MT-ND6
ENSG00000109971,1268.7360671022345,HSPA8
ENSG00000245532,1201.9664786976523,NEAT1
ENSG00000100316,1201.7981522608145,RPL3
ENSG00000104879,1179.898945124952,CKM
ENSG00000108821,1170.4434992826593,COL1A1
ENSG00000080824,1143.2821370039587,HSP90AA1
ENSG00000111640,1100.2286704430564,GAPDH
ENSG00000133112,1080.7594467403455,TPT1
ENSG00000174444,1068.2777814387487,RPL4
ENSG00000196924,1056.5855080005583,FLNA
ENSG00000163220,1044.508780871736,S100A9
ENSG00000137154,1039.0772969818597,RPS6
ENSG00000136167,1002.9978239379778,LCP1
ENSG00000090382,987.1826921873073,LYZ
ENSG00000100345,961.3945877912554,MYH9
ENSG00000067225,947.5820480504584,PKM
ENSG00000096384,940.0435968426568,HSP90AB1
ENSG00000142541,938.4708118768873,RPL13A
ENSG00000070756,927.5985681214707,PABPC1
ENSG00000108654,925.2347088471781,DDX5
ENSG00000087460,910.667181188986,GNAS
ENSG00000164692,882.6232624368787,COL1A2
ENSG00000211592,882.5514227410802,IGKC
ENSG00000135821,874.4852049970411,GLUL
ENSG00000089157,862.0337359332062,RPLP0
ENSG00000110321,852.384208272706,EIF4G2
ENSG00000150991,846.1884063391955,UBC
ENSG00000183091,830.6655046847544,NEB
ENSG00000263934,826.425201641061,SNORD3A
ENSG00000100201,825.3535733327282,DDX17
ENSG00000125414,820.4466021834886,MYH2
ENSG00000074800,806.1783125311296,ENO1
ENSG00000160710,803.5007559767026,ADAR
ENSG00000198034,796.3245998164491,RPS4X
ENSG00000163131,793.0015129418616,CTSS
ENSG00000105835,785.1565960531461,NAMPT
ENSG00000169429,784.7766689805577,CXCL8
ENSG00000120885,782.777125339383,CLU
ENSG00000112096,781.5971062059455,NA
ENSG00000164924,780.5385798040733,YWHAZ
ENSG00000198668,775.1725031192248,CALM1
ENSG00000167978,761.0112721445358,SRRM2
ENSG00000142534,738.2258121588338,RPS11
ENSG00000113140,737.3128266214346,SPARC
ENSG00000212907,734.146771016051,MT-ND4L
ENSG00000122566,721.3303775521168,HNRNPA2B1
ENSG00000119535,718.3476677676207,CSF3R
ENSG00000149273,715.8590648341092,RPS3
ENSG00000168542,703.6137368653839,COL3A1
ENSG00000143384,700.4335784610622,MCL1
ENSG00000248527,697.6094407236064,MTATP6P1
ENSG00000204628,689.2655344117449,RACK1
ENSG00000108298,685.9288368833388,RPL19
ENSG00000187514,681.722628982036,PTMA
ENSG00000136156,680.8339282328305,ITM2B
ENSG00000147065,677.1582520808442,MSN
ENSG00000147403,677.0908376171992,RPL10
ENSG00000182718,676.042472930843,ANXA2
ENSG00000139644,672.9725859839243,TMBIM6
ENSG00000132475,671.2925796488388,H3-3B
ENSG00000009307,670.8788996959044,CSDE1
ENSG00000034510,662.4340824425414,TMSB10
ENSG00000099194,655.4935135005994,SCD
ENSG00000166710,651.1061070400644,B2M
ENSG00000122406,647.4967976820892,RPL5
ENSG00000197971,646.6760832846397,MBP
ENSG00000174748,639.2403572858894,RPL15
ENSG00000167526,637.4272008524845,RPL13
ENSG00000162896,633.8347738035471,PIGR
ENSG00000162511,631.3427489429355,LAPTM5
ENSG00000137818,621.6928453931125,RPLP1
ENSG00000135486,619.4036155455342,HNRNPA1
ENSG00000143549,598.467884807421,TPM3
ENSG00000122862,592.0787359620992,SRGN
ENSG00000140988,582.4191168482204,RPS2
ENSG00000084234,581.84497663825,APLP2
ENSG00000137801,581.6522951417247,THBS1
ENSG00000115263,580.8398450532698,GCG
ENSG00000161016,578.4580016449172,RPL8
ENSG00000127603,575.4800992277233,MACF1
ENSG00000125538,568.721340013925,IL1B
ENSG00000081237,567.374691084495,PTPRC
ENSG00000198467,566.339209034765,TPM2
ENSG00000026508,565.7448307984363,CD44
ENSG00000026025,561.8758454843453,VIM
ENSG00000142937,556.1656990467985,RPS8
ENSG00000022267,555.9438549991459,FHL1
ENSG00000147604,554.5139801434998,RPL7
ENSG00000110955,553.4246339243746,ATP5F1B
ENSG00000130066,550.9336121991569,SAT1
ENSG00000198125,546.9568148646948,MB
ENSG00000115306,546.2734296087086,SPTBN1
ENSG00000177954,539.5039658586331,RPS27
ENSG00000175084,536.3027979220595,DES
ENSG00000137642,531.6964450443778,SORL1
ENSG00000112306,531.595656473091,RPS12
ENSG00000142676,530.4162281961087,RPL11
ENSG00000153187,530.0685449022288,HNRNPU
ENSG00000138326,529.865019040669,RPS24
ENSG00000137076,525.1116739078211,TLN1
ENSG00000215301,523.8210422227123,DDX3X
ENSG00000166598,523.2706359244045,HSP90B1
ENSG00000072274,521.2206469665819,TFRC
ENSG00000115524,519.5890973806917,SF3B1
ENSG00000165119,510.3155678757046,HNRNPK
ENSG00000134333,509.3933436878121,LDHA
ENSG00000173821,509.31423192104074,RNF213
ENSG00000148180,508.4266261448549,GSN
ENSG00000142192,507.11746273481344,APP
ENSG00000067560,505.3905351460079,RHOA
ENSG00000089009,505.1947074296546,RPL6
